TIPOVOL;GRED;ISBN;CODVOL;TITOLO;ANNO;PREZZO;PESO;PAGINE
0-Scolastico;03H;9788808988287;98828;"LEPRE""PETRACCONE*NOI TEMPO 2E 2 LDM ";20;28.40;1100;592
0-Scolastico;03H;9788808940322;94032;"LEPRE""PETRACCONE*NOI TEMPO 2E 3 LDM ";20;31.80;1360;752
0-Scolastico;03H;9788808246295;24629;"LEPRE""PETRACCONE*NOI TEMPO 2E IMP 1 ";20;7.60;290;128
0-Scolastico;03H;9788808833624;83362;"LEPRE""PETRACCONE*NOI TEMPO 2E IMP 2 ";20;8.00;320;144
0-Scolastico;03H;9788808862990;86299;"LEPRE""PETRACCONE*NOI TEMPO 2E IMP 3 ";20;8.00;360;160
0-Scolastico;03N;9788808063397;06339;LEWIS*CHIMICA IN SINT.(UNITUTOR)    ;14;10.30;220;96
0-Scolastico;03M;9788808425881;42588;"LUPIA""PAR*GLOBO BLU 2ED 3/4     LDM ";17;17.80;570;208
0-Scolastico;03M;9788808357359;35735;"LUPIA""PAR*GLOBO BLU 2ED 5       LDM ";17;20.40;620;224
0-Scolastico;03M;9788808439888;43988;"LUPIA""PAR*GLOBO BLU 2ED 5 S     LDM ";17;22.60;810;296
0-Scolastico;03M;9788808420947;42094;"LUPIA""PAR*GLOBO BLU 2ED U       LDM ";17;34.30;1140;424
0-Scolastico;03M;9788808288837;28883;"LUPIA""PAR*GLOBO BLU 2ED U S     LDM ";17;36.40;1320;496
0-Scolastico;03M;9788808322821;32282;"LUPIA""PAR*GLOBO BLU AMBIENTE    LDM ";12;19.00;440;176
0-Scolastico;03M;9788808734945;73494;"LUPIA""PAR*GLOBO BLU RISOR        LD ";14;14.10;390;152
0-Scolastico;03M;9788808167309;16730;"LUPIA""PAROTTO*GLOBO 6E LM           ";08;49.00;1350;600
0-Scolastico;03M;9788808979643;97964;LUPIA*GLOBO BLU 2E FON MI+VU+TE LDM ;18;23.60;780;288
0-Scolastico;03M;9788808194091;19409;LUPIA*GLOBO BLU 2E FOND MIN+VU  LDM ;18;16.20;510;184
0-Scolastico;03M;9788808399656;39965;LUPIA*GLOBO BLU 2E FOND TETT    LDM ;18;11.60;340;120
0-Scolastico;03M;9788808262721;26272;LUPIA*GLOBO BLU 2ED MINERALI    LDM ;18;9.00;220;72
0-Scolastico;03M;9788808752161;75216;LUPIA*GLOBO BLU 2ED VULC+TETT   LDM ;18;20.90;640;240
0-Scolastico;03M;9788808400512;40051;LUPIA*LINEAM SC.TERRA MIN       LDM ;13;14.30;300;104
0-Scolastico;03M;9788808637710;63771;LUPIA*OSS.CAP.TER AZZ DIN END 2E LD ;16;17.40;550;200
0-Scolastico;03M;9788808839008;83900;LUPIA*TERRA AZZ 2ED TRIENNIO    LDM ;20;17.70;620;224
0-Scolastico;03H;9788808437532;43753;LUZZATTO*DALLE STORIE CNF.3     LDM ;16;32.00;1800;864
0-Scolastico;03H;9788808821171;82117;LUZZATTO*DALLE STORIE VOL.1     LDM ;16;25.60;1030;512
0-Scolastico;03H;9788808837530;83753;LUZZATTO*DALLE STORIE VOL.2     LDM ;16;29.00;1130;608
0-Scolastico;03L;9788808742568;74256;MADER*IMM.CONC.BIOL 2E BIO+CORP LDM ;18;30.40;780;352
0-Scolastico;03L;9788808338280;33828;MADER*IMM.CONC.BIOL 2E BIOL PLU LDM ;19;16.20;510;184
0-Scolastico;03L;9788808793959;79395;MADER*IMM.CONC.BIOL 2E CORP PLU LDM ;19;23.00;680;256
0-Scolastico;03L;9788808175625;17562;MADER*IMM.CONC.BIOL AMBIENTE    LDM ;14;10.60;270;96
0-Scolastico;03L;9788808334886;33488;MADER*IMM.CONC.BIOL CORPO       LDM ;14;21.30;630;232
0-Scolastico;03R;9788808141132;14113;MANDOLINI*PAROLE FISICA 1       LDM ;12;31.70;700;408
0-Scolastico;03R;9788808141170;14117;MANDOLINI*PAROLE FISICA 2       LDM ;12;26.20;580;328
0-Scolastico;03R;9788808141194;14119;MANDOLINI*PAROLE FISICA 3        LD ;12;27.80;750;400
0-Scolastico;03R;9788808141217;14121;MANDOLINI*PAROLE FISICA 3       LDM ;12;30.50;750;400
0-Scolastico;03R;9788808141293;14129;MANDOLINI*PAROLE FISICA AZZ 1    LD ;12;20.60;610;288
0-Scolastico;03R;9788808141316;14131;MANDOLINI*PAROLE FISICA AZZ 1   LDM ;12;23.00;630;288
0-Scolastico;03R;9788808141330;14133;MANDOLINI*PAROLE FISICA AZZ 2    LD ;12;18.60;530;248
0-Scolastico;03R;9788808141354;14135;MANDOLINI*PAROLE FISICA AZZ 2   LDM ;12;20.70;510;248
0-Scolastico;03R;9788808141378;14137;MANDOLINI*PAROLE FISICA AZZ 3    LD ;12;21.30;640;296
0-Scolastico;03R;9788808141392;14139;MANDOLINI*PAROLE FISICA AZZ 3   LDM ;12;23.80;640;296
0-Scolastico;03R;9788808141279;14127;MANDOLINI*PAROLE FISICA AZZ U    LD ;12;40.70;1140;608
0-Scolastico;03D;9788808420565;42056;MANZINI*ENGLISH ELECT/MEC (LUC)  LD ;19;24.00;420;200
0-Scolastico;03D;9788808520395;52039;MANZINI*FASHION ITALY (LUC)      LD ;19;24.00;440;200
0-Scolastico;03P;9788808620910;62091;MARIEB*CORPO UMANO 3ED          LDM ;18;35.50;1090;448
0-Scolastico;03D;9788808259226;25922;MATASSI*TOTALLY CONN. 2ED(CLT)   LD ;14;26.00;720;340
0-Scolastico;03P;9788808175014;17501;MATTEO*QUALITA BENESSERE 2/3 LMS (C ;13;33.90;840;488
0-Scolastico;03T;9788808920997;92099;MEINI*TECNOL PROGETT 2ED 1       LD ;17;21.90;700;328
0-Scolastico;03T;9788808599445;59944;MEINI*TECNOL PROGETT 2ED 2       LD ;17;22.20;610;288
0-Scolastico;03T;9788808878809;87880;MEINI*TECNOL PROGETT 2ED 3       LD ;17;27.20;890;416
